Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23,23,2070.0,23.2,25,1.09,74,49,67.6,18,5,1,4,17.4,1,1,0,0,0.0
Paris Saint Germain,Matvei Safonov,ru RUS,GK,25.0,9,9,810.0,9.8,9,1.0,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0
Paris Saint Germain,Arnau Tenas,es ESP,GK,23.0,1,1,90.0,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Marseille,Gerónimo Rulli,ar ARG,GK,32.0,34,34,3060.0,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0
Monaco,Philipp Köhn,ch SUI,GK,26.0,19,19,1710.0,19.0,19,1.0,63,44,71.4,11,5,3,8,42.1,1,1,0,0,0.0
Monaco,Radosław Majecki,pl POL,GK,24.0,15,15,1350.0,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0
Nice,Marcin Bułka,pl POL,GK,24.0,34,34,3060.0,34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3
Lille,Lucas Chevalier,fr FRA,GK,22.0,34,34,3060.0,34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0
Lyon,Lucas Perri,br BRA,GK,26.0,33,33,2970.0,33.0,44,1.33,160,116,74.4,17,6,10,10,30.3,3,3,0,0,0.0
Lyon,Rémy Descamps,fr FRA,GK,28.0,1,1,90.0,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
Strasbourg,Đorđe Petrović,rs SRB,GK,24.0,31,31,2790.0,31.0,38,1.23,147,110,78.9,15,8,8,10,32.3,8,7,1,0,12.5
Strasbourg,Karl-Johan Johnsson,se SWE,GK,34.0,3,3,270.0,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0
