Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Paris Saint Germain,Bradley Barcola,fr FRA,FW,21.0,24.4,14,74,38,51.4,3.03,1.55,0.19,0.37,13.2,0,0,0,13.4,13.4,0.18,0.6,0.6
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Paris Saint Germain,Achraf Hakimi,ma MAR,DF,25.0,23.0,4,32,12,37.5,1.39,0.52,0.13,0.33,19.2,5,0,0,2.9,2.9,0.09,1.1,1.1
Paris Saint Germain,Willian Pacho,ec ECU,DF,22.0,23.7,0,4,1,25.0,0.17,0.04,0.0,0.0,8.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Paris Saint Germain,Warren Zaïre-Emery,fr FRA,MF,18.0,22.9,1,17,7,41.2,0.74,0.31,0.06,0.14,20.5,0,0,0,1.7,1.7,0.1,-0.7,-0.7
Paris Saint Germain,Lucas Beraldo,br BRA,DF,20.0,22.4,1,12,4,33.3,0.54,0.18,0.08,0.25,14.2,0,0,0,0.9,0.9,0.07,0.1,0.1
Paris Saint Germain,João Neves,pt POR,MF,19.0,20.6,3,28,11,39.3,1.36,0.53,0.11,0.27,13.7,0,0,0,3.0,3.0,0.11,0.0,0.0
Paris Saint Germain,Fabián Ruiz Peña,es ESP,MF,28.0,21.5,4,43,12,27.9,2.0,0.56,0.09,0.33,18.7,0,0,0,4.3,4.3,0.1,-0.3,-0.3
Paris Saint Germain,Vitinha,pt POR,MF,24.0,22.7,5,25,12,48.0,1.1,0.53,0.12,0.25,24.2,2,2,2,3.4,1.8,0.07,1.6,1.2
Paris Saint Germain,Ousmane Dembélé,fr FRA,FW,27.0,19.4,21,96,49,51.0,4.95,2.53,0.21,0.41,16.0,0,1,1,16.6,15.8,0.16,4.4,4.2
Paris Saint Germain,Marquinhos,br BRA,DF,30.0,19.2,2,8,3,37.5,0.42,0.16,0.25,0.67,9.7,0,0,0,1.1,1.1,0.14,0.9,0.9
Paris Saint Germain,Nuno Mendes,pt POR,DF,22.0,18.7,1,21,9,42.9,1.12,0.48,0.05,0.11,20.2,1,0,0,2.2,2.2,0.1,-1.2,-1.2
Paris Saint Germain,Lee Kang-in,kr KOR,FW,23.0,18.6,6,41,14,34.1,2.2,0.75,0.15,0.43,19.0,1,0,0,3.5,3.5,0.09,2.5,2.5
Paris Saint Germain,Désiré Doué,fr FRA,FW,19.0,19.4,6,55,20,36.4,2.84,1.03,0.11,0.3,17.9,0,0,0,5.1,5.1,0.09,0.9,0.9
