Team,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Paris Saint Germain,Bradley Barcola,fr FRA,FW,21.0,24.4,917,894,19,5,6,2,25,12,2,0,0,0,749,4,22
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23.2,632,508,124,35,0,0,0,0,0,0,0,0,552,0,0
Paris Saint Germain,Achraf Hakimi,ma MAR,DF,25.0,23.0,2140,1949,188,34,2,8,80,150,4,0,1,0,1898,3,32
Paris Saint Germain,Willian Pacho,ec ECU,DF,22.0,23.7,1968,1920,46,27,0,3,0,11,0,0,0,0,1865,2,7
Paris Saint Germain,Warren Zaïre-Emery,fr FRA,MF,18.0,22.9,1677,1605,70,17,2,18,9,50,0,0,0,0,1557,2,22
Paris Saint Germain,Lucas Beraldo,br BRA,DF,20.0,22.4,2132,2072,55,29,1,9,3,25,0,0,0,0,2013,5,6
Paris Saint Germain,João Neves,pt POR,MF,19.0,20.6,1634,1538,93,35,11,17,15,48,0,0,0,0,1491,3,13
Paris Saint Germain,Fabián Ruiz Peña,es ESP,MF,28.0,21.5,1627,1577,47,32,7,15,27,10,3,0,0,0,1458,3,27
Paris Saint Germain,Vitinha,pt POR,MF,24.0,22.7,2403,2325,75,56,13,22,21,10,6,2,1,0,2236,3,19
Paris Saint Germain,Ousmane Dembélé,fr FRA,FW,27.0,19.4,1068,986,74,9,13,10,80,3,48,14,16,0,844,8,36
Paris Saint Germain,Marquinhos,br BRA,DF,30.0,19.2,1830,1791,36,23,3,13,3,11,0,0,0,0,1736,3,6
Paris Saint Germain,Nuno Mendes,pt POR,DF,22.0,18.7,1488,1328,157,29,3,25,60,119,9,5,3,0,1293,3,21
Paris Saint Germain,Lee Kang-in,kr KOR,FW,23.0,18.6,1268,1149,114,15,13,10,94,7,84,24,32,0,1110,5,16
Paris Saint Germain,Désiré Doué,fr FRA,FW,19.0,19.4,1133,1066,66,11,8,7,78,24,23,8,5,1,933,1,21
Paris Saint Germain,Gonçalo Ramos,pt POR,FW,23.0,11.9,241,237,3,2,2,0,1,1,0,0,0,0,193,1,8
Paris Saint Germain,Khvicha Kvaratskhelia,ge GEO,FW,23.0,10.3,547,507,38,5,5,3,33,5,27,6,12,0,468,2,15
Paris Saint Germain,Lucas Hernández,fr FRA,DF,28.0,9.8,907,834,73,16,1,5,2,56,0,0,0,0,832,0,8
Paris Saint Germain,Matvei Safonov,ru RUS,GK,25.0,9.8,311,252,58,10,0,0,0,0,0,0,0,0,250,1,1
Paris Saint Germain,Senny Mayulu,fr FRA,MF,18.0,9.0,460,427,31,7,0,4,9,13,4,2,0,0,404,2,12
Paris Saint Germain,Marco Asensio,es ESP,FW,28.0,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7
Paris Saint Germain,Milan Škriniar,sk SVK,DF,29.0,4.2,374,360,14,8,0,2,0,1,0,0,0,0,361,0,0
Paris Saint Germain,Ibrahim Mbaye,fr FRA,FW,16.0,3.8,148,147,0,0,0,0,5,0,0,0,0,0,128,1,2
Paris Saint Germain,Randal Kolo Muani,fr FRA,FW,25.0,4.0,78,73,5,0,2,1,0,0,0,0,0,0,57,0,3
Paris Saint Germain,Yoram Zague,fr FRA,DF,18.0,2.0,183,168,15,0,0,0,4,15,0,0,0,0,172,0,2
Paris Saint Germain,Axel Tapé,fr FRA,DF,16.0,2.0,151,148,3,2,0,0,0,1,0,0,0,0,142,0,2
Paris Saint Germain,Arnau Tenas,es ESP,GK,23.0,1.0,32,29,3,1,0,0,0,0,0,0,0,0,31,0,0
Paris Saint Germain,Noham Kamara,fr FRA,DF,17.0,0.8,79,74,5,0,1,0,0,5,0,0,0,0,74,0,0
Paris Saint Germain,Presnel Kimpembe,fr FRA,DF,28.0,0.3,18,18,0,0,0,0,0,0,0,0,0,0,18,0,0
Marseille,Gerónimo Rulli,ar ARG,GK,32.0,34.0,1204,1013,189,84,0,3,0,0,0,0,0,0,1058,2,0
Marseille,Mason Greenwood,eng ENG,FW,22.0,31.3,1389,1313,71,13,13,25,110,8,43,29,4,0,1089,5,26
Marseille,Pierre Højbjerg,dk DEN,MF,28.0,29.6,2895,2787,106,82,10,13,19,9,13,6,5,0,2674,2,20
Marseille,Luis Henrique,br BRA,DF,22.0,29.2,1427,1350,75,5,2,6,97,62,8,1,5,0,1156,2,31
Marseille,Adrien Rabiot,fr FRA,MF,29.0,27.6,1543,1508,32,19,6,0,40,11,0,0,0,0,1309,3,38
Marseille,Michael Amir Murillo,pa PAN,DF,28.0,27.1,1902,1691,207,44,1,0,37,162,0,0,0,0,1665,4,32
Marseille,Leonardo Balerdi,ar ARG,DF,25.0,25.3,2516,2452,61,44,3,8,2,1,0,0,0,0,2360,3,12
Marseille,Geoffrey Kondogbia,cf CTA,DF,31.0,22.5,1803,1745,57,27,2,3,4,8,0,0,0,0,1668,1,10
Marseille,Quentin Merlin,fr FRA,DF,22.0,17.8,1145,980,162,15,0,4,95,121,26,6,15,0,943,3,27
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,1408,1373,31,17,1,3,7,14,0,0,0,0,1271,4,25
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,1357,1311,43,23,1,1,4,3,0,0,0,0,1267,3,9
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,297,264,33,4,1,0,1,4,0,0,0,0,250,0,9
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,351,271,79,6,1,0,57,0,49,19,28,0,284,1,5
Marseille,Ulisses Garcia,ch SUI,DF,28.0,10.4,632,536,94,15,0,2,35,74,0,0,0,0,535,2,15
Marseille,Lilian Brassier,fr FRA,DF,24.0,8.7,653,605,43,12,0,2,5,21,0,0,0,0,560,5,6
