Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Paris Saint Germain,Bradley Barcola,fr FRA,FW,21.0,24.4,101,4.17,87,1,5,4,2,2,20,0.83,17,0,1,2,0,0
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23.2,2,0.09,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Achraf Hakimi,ma MAR,DF,25.0,23.0,104,4.53,91,3,4,1,3,2,11,0.48,10,0,1,0,0,0
Paris Saint Germain,Willian Pacho,ec ECU,DF,22.0,23.7,13,0.55,11,0,0,1,0,1,3,0.13,2,0,0,1,0,0
Paris Saint Germain,Warren Zaïre-Emery,fr FRA,MF,18.0,22.9,52,2.28,47,1,1,3,0,0,4,0.18,2,1,1,0,0,0
Paris Saint Germain,Lucas Beraldo,br BRA,DF,20.0,22.4,22,0.98,22,0,0,0,0,0,3,0.13,3,0,0,0,0,0
Paris Saint Germain,João Neves,pt POR,MF,19.0,20.6,68,3.32,56,1,3,2,3,3,14,0.68,14,0,0,0,0,0
Paris Saint Germain,Fabián Ruiz Peña,es ESP,MF,28.0,21.5,89,4.16,79,0,2,6,0,2,14,0.65,12,0,0,1,0,1
Paris Saint Germain,Vitinha,pt POR,MF,24.0,22.7,73,3.22,66,2,3,2,0,0,4,0.18,2,1,1,0,0,0
Paris Saint Germain,Ousmane Dembélé,fr FRA,FW,27.0,19.4,110,5.72,75,16,9,6,3,1,15,0.78,11,0,1,2,1,0
Paris Saint Germain,Marquinhos,br BRA,DF,30.0,19.2,31,1.62,28,0,1,0,0,2,1,0.05,0,0,0,0,0,1
Paris Saint Germain,Nuno Mendes,pt POR,DF,22.0,18.7,72,3.87,53,6,5,4,3,1,6,0.32,5,1,0,0,0,0
Paris Saint Germain,Lee Kang-in,kr KOR,FW,23.0,18.6,97,5.26,70,21,3,3,0,0,6,0.33,5,1,0,0,0,0
Paris Saint Germain,Désiré Doué,fr FRA,FW,19.0,19.4,109,5.66,84,1,14,4,5,1,24,1.25,15,0,4,1,3,1
Paris Saint Germain,Gonçalo Ramos,pt POR,FW,23.0,11.9,30,2.54,23,0,0,5,2,0,6,0.51,4,0,0,1,1,0
Paris Saint Germain,Khvicha Kvaratskhelia,ge GEO,FW,23.0,10.3,60,5.89,39,3,9,3,3,3,8,0.79,5,0,2,1,0,0
Paris Saint Germain,Lucas Hernández,fr FRA,DF,28.0,9.8,11,1.13,9,1,1,0,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Matvei Safonov,ru RUS,GK,25.0,9.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Senny Mayulu,fr FRA,MF,18.0,9.0,38,4.23,28,0,0,5,2,3,6,0.67,6,0,0,0,0,0
Paris Saint Germain,Marco Asensio,es ESP,FW,28.0,6.9,37,5.39,27,2,2,6,0,0,7,1.02,7,0,0,0,0,0
Paris Saint Germain,Milan Škriniar,sk SVK,DF,29.0,4.2,6,1.41,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Ibrahim Mbaye,fr FRA,FW,16.0,3.8,8,2.12,6,0,1,0,0,1,2,0.53,2,0,0,0,0,0
Paris Saint Germain,Randal Kolo Muani,fr FRA,FW,25.0,4.0,13,3.27,7,0,1,3,1,1,3,0.75,1,0,0,1,1,0
Paris Saint Germain,Yoram Zague,fr FRA,DF,18.0,2.0,3,1.48,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Axel Tapé,fr FRA,DF,16.0,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Arnau Tenas,es ESP,GK,23.0,1.0,2,2.0,2,0,0,0,0,0,1,1.0,1,0,0,0,0,0
Paris Saint Germain,Noham Kamara,fr FRA,DF,17.0,0.8,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paris Saint Germain,Presnel Kimpembe,fr FRA,DF,28.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Gerónimo Rulli,ar ARG,GK,32.0,34.0,8,0.24,7,0,0,0,0,1,2,0.06,1,0,0,0,0,1
Marseille,Mason Greenwood,eng ENG,FW,22.0,31.3,123,3.95,78,13,12,12,7,1,19,0.61,15,0,1,2,1,0
Marseille,Pierre Højbjerg,dk DEN,MF,28.0,29.6,100,3.38,80,11,0,4,2,3,10,0.34,8,1,0,0,0,1
Marseille,Luis Henrique,br BRA,DF,22.0,29.2,105,3.62,87,6,7,4,0,1,15,0.52,15,0,0,0,0,0
Marseille,Adrien Rabiot,fr FRA,MF,29.0,27.6,66,2.39,53,0,5,6,2,0,11,0.4,8,0,2,0,1,0
Marseille,Michael Amir Murillo,pa PAN,DF,28.0,27.1,47,1.74,39,2,3,2,0,1,6,0.22,5,0,1,0,0,0
Marseille,Leonardo Balerdi,ar ARG,DF,25.0,25.3,27,1.07,22,0,3,2,0,0,3,0.12,3,0,0,0,0,0
Marseille,Geoffrey Kondogbia,cf CTA,DF,31.0,22.5,24,1.07,20,0,1,2,0,1,0,0.0,0,0,0,0,0,0
Marseille,Quentin Merlin,fr FRA,DF,22.0,17.8,59,3.34,43,9,1,5,1,0,9,0.51,7,0,0,2,0,0
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,35,2.02,29,0,0,3,1,2,6,0.35,5,0,0,0,1,0
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,9,0.57,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,22,1.9,20,0,2,0,0,0,5,0.43,5,0,0,0,0,0
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,56,4.81,24,18,3,10,1,0,7,0.6,3,1,1,2,0,0
