Team,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Paris Saint Germain,Bradley Barcola,fr FRA,FW,21.0,24.4,27,17,10,8,9,8,31,25.8,23,25,2,23,19,46,12,0
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23.2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,14,0
Paris Saint Germain,Achraf Hakimi,ma MAR,DF,25.0,23.0,48,36,18,20,10,27,55,49.1,28,25,2,23,31,79,18,3
Paris Saint Germain,Willian Pacho,ec ECU,DF,22.0,23.7,56,32,34,22,0,23,32,71.9,9,35,22,13,40,96,91,1
Paris Saint Germain,Warren Zaïre-Emery,fr FRA,MF,18.0,22.9,51,26,17,21,13,23,45,51.1,22,35,6,29,23,74,20,2
Paris Saint Germain,Lucas Beraldo,br BRA,DF,20.0,22.4,38,31,30,8,0,23,37,62.2,14,16,8,8,21,59,63,3
Paris Saint Germain,João Neves,pt POR,MF,19.0,20.6,63,31,20,26,17,27,45,60.0,18,29,9,20,23,86,22,1
Paris Saint Germain,Fabián Ruiz Peña,es ESP,MF,28.0,21.5,37,24,13,15,9,21,47,44.7,26,25,3,22,16,53,27,1
Paris Saint Germain,Vitinha,pt POR,MF,24.0,22.7,43,23,13,27,3,25,48,52.1,23,26,7,19,14,57,19,2
Paris Saint Germain,Ousmane Dembélé,fr FRA,FW,27.0,19.4,11,5,0,7,4,4,12,33.3,8,3,0,3,9,20,2,1
Paris Saint Germain,Marquinhos,br BRA,DF,30.0,19.2,30,19,8,16,6,25,33,75.8,8,27,15,12,11,41,64,0
Paris Saint Germain,Nuno Mendes,pt POR,DF,22.0,18.7,30,19,15,12,3,23,39,59.0,16,25,8,17,18,48,37,2
Paris Saint Germain,Lee Kang-in,kr KOR,FW,23.0,18.6,25,17,7,11,7,19,35,54.3,16,11,1,10,3,28,3,1
Paris Saint Germain,Désiré Doué,fr FRA,FW,19.0,19.4,48,30,15,19,14,24,51,47.1,27,26,0,26,13,61,7,0
Paris Saint Germain,Gonçalo Ramos,pt POR,FW,23.0,11.9,11,6,5,5,1,3,6,50.0,3,5,1,4,0,11,5,0
Paris Saint Germain,Khvicha Kvaratskhelia,ge GEO,FW,23.0,10.3,19,13,4,12,3,13,23,56.5,10,7,0,7,2,21,4,0
Paris Saint Germain,Lucas Hernández,fr FRA,DF,28.0,9.8,24,18,13,9,2,14,23,60.9,9,12,5,7,7,31,37,2
Paris Saint Germain,Matvei Safonov,ru RUS,GK,25.0,9.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
Paris Saint Germain,Senny Mayulu,fr FRA,MF,18.0,9.0,25,16,8,14,3,8,14,57.1,6,8,3,5,5,30,12,0
Paris Saint Germain,Marco Asensio,es ESP,FW,28.0,6.9,4,3,1,3,0,0,6,0.0,6,1,0,1,0,4,1,0
Paris Saint Germain,Milan Škriniar,sk SVK,DF,29.0,4.2,7,5,3,4,0,3,3,100.0,0,7,6,1,3,10,16,0
Paris Saint Germain,Ibrahim Mbaye,fr FRA,FW,16.0,3.8,4,2,1,2,1,3,8,37.5,5,2,0,2,2,6,2,0
Paris Saint Germain,Randal Kolo Muani,fr FRA,FW,25.0,4.0,4,4,1,1,2,0,2,0.0,2,1,0,1,0,4,5,0
Paris Saint Germain,Yoram Zague,fr FRA,DF,18.0,2.0,8,6,3,1,4,6,8,75.0,2,3,0,3,2,10,2,0
Paris Saint Germain,Axel Tapé,fr FRA,DF,16.0,2.0,3,1,1,2,0,2,2,100.0,0,2,2,0,1,4,5,0
Paris Saint Germain,Arnau Tenas,es ESP,GK,23.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Paris Saint Germain,Noham Kamara,fr FRA,DF,17.0,0.8,1,1,0,1,0,0,0,,0,1,1,0,1,2,1,0
Paris Saint Germain,Presnel Kimpembe,fr FRA,DF,28.0,0.3,1,0,1,0,0,0,0,,0,2,2,0,0,1,1,0
Marseille,Gerónimo Rulli,ar ARG,GK,32.0,34.0,4,3,4,0,0,4,8,50.0,4,1,0,1,1,5,25,3
Marseille,Mason Greenwood,eng ENG,FW,22.0,31.3,35,18,10,14,11,16,39,41.0,23,7,0,7,12,47,5,2
Marseille,Pierre Højbjerg,dk DEN,MF,28.0,29.6,64,45,25,32,7,37,69,53.6,32,28,4,24,42,106,33,2
Marseille,Luis Henrique,br BRA,DF,22.0,29.2,16,9,7,6,3,9,10,90.0,1,15,2,13,10,26,30,0
Marseille,Adrien Rabiot,fr FRA,MF,29.0,27.6,49,31,17,21,11,19,32,59.4,13,21,2,19,21,70,32,0
Marseille,Michael Amir Murillo,pa PAN,DF,28.0,27.1,49,31,30,13,6,32,46,69.6,14,21,8,13,18,67,70,4
Marseille,Leonardo Balerdi,ar ARG,DF,25.0,25.3,54,39,32,17,5,27,47,57.4,20,25,14,11,38,92,72,4
Marseille,Geoffrey Kondogbia,cf CTA,DF,31.0,22.5,60,38,31,26,3,27,34,79.4,7,23,6,17,22,82,64,4
Marseille,Quentin Merlin,fr FRA,DF,22.0,17.8,22,17,12,5,5,9,16,56.3,7,20,4,16,14,36,17,1
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,50,28,14,31,5,27,43,62.8,16,30,9,21,33,83,28,5
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,24,17,15,8,1,17,22,77.3,5,16,10,6,14,38,51,0
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,9,4,1,6,2,3,6,50.0,3,5,0,5,2,11,0,0
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,5,5,0,1,4,2,3,66.7,1,9,0,9,1,6,1,0
Marseille,Ulisses Garcia,ch SUI,DF,28.0,10.4,14,11,7,5,2,4,14,28.6,10,5,1,4,8,22,18,0
Marseille,Lilian Brassier,fr FRA,DF,24.0,8.7,8,6,8,0,0,5,6,83.3,1,8,3,5,9,17,28,2
Marseille,Ismaël Bennacer,dz ALG,MF,26.0,7.3,21,10,8,12,1,12,18,66.7,6,6,0,6,10,31,2,1
Marseille,Amine Harit,ma MAR,MF,27.0,5.8,8,7,0,6,2,1,2,50.0,1,6,0,6,3,11,1,1
Marseille,Elye Wahi,fr FRA,FW,21.0,6.4,0,0,0,0,0,0,4,0.0,4,1,0,1,1,1,0,0
Marseille,Jon Rowe,eng ENG,FW,21.0,9.0,15,11,5,4,6,6,14,42.9,8,4,1,3,2,17,4,0
Marseille,Pol Lirola,es ESP,DF,26.0,7.6,13,9,5,8,0,5,13,38.5,8,7,2,5,4,17,12,0
Marseille,Bilal Nadir,ma MAR,MF,20.0,4.3,10,3,4,6,0,4,6,66.7,2,6,1,5,4,14,7,0
Marseille,Ismaël Koné,ca CAN,MF,22.0,4.0,8,4,3,3,2,3,4,75.0,1,4,1,3,4,12,2,1
Marseille,Amar Dedić,ba BIH,DF,21.0,3.5,5,4,2,2,1,3,10,30.0,7,0,0,0,3,8,12,1
Marseille,Luiz Felipe,it ITA,DF,27.0,1.4,4,3,3,1,0,1,2,50.0,1,3,2,1,3,7,5,0
Marseille,Valentin Carboni,ar ARG,MF,19.0,1.1,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0
Marseille,Robinio Vaz,fr FRA,FW,17.0,0.8,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0
Marseille,Bamo Meïté,ci CIV,DF,22.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Marseille,Enzo Sternal,fr FRA,FW,17.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marseille,Darryl Bakola,fr FRA,DF,16.0,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Marseille,Emmanuel Koum Mbondo,fr FRA,DF,18.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marseille,Faris Pemi Moumbagna,cm CMR,FW,24.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marseille,Keyliane Abdallah,fr FRA,FW,18.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Monaco,Maghnes Akliouche,fr FRA,FW,22.0,26.8,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0
Monaco,Thilo Kehrer,de GER,DF,27.0,26.5,37,23,26,11,0,22,38,57.9,16,18,10,8,36,73,113,1
Monaco,Takumi Minamino,jp JPN,MF,29.0,25.0,33,19,7,14,12,15,42,35.7,27,26,1,25,10,43,20,0
Monaco,Lamine Camara,sn SEN,MF,20.0,23.0,66,41,22,34,10,26,48,54.2,22,30,4,26,31,97,32,1
Monaco,Denis Zakaria,ch SUI,MF,27.0,23.9,41,26,15,19,7,24,33,72.7,9,31,8,23,34,75,39,1
Monaco,Wilfried Singo,ci CIV,DF,23.0,23.3,37,23,24,10,3,20,28,71.4,8,17,9,8,43,80,110,2
Monaco,Vanderson,br BRA,DF,23.0,23.1,76,48,37,30,9,45,64,70.3,19,43,6,37,39,115,65,2
Monaco,Caio Henrique Oliveira Silva,br BRA,DF,27.0,21.5,37,26,16,19,2,23,44,52.3,21,26,8,18,22,59,59,0
Monaco,Breel Embolo,ch SUI,FW,27.0,20.6,22,17,7,7,8,5,16,31.3,11,11,0,11,3,25,10,1
Monaco,Eliesse Ben Seghir,ma MAR,MF,19.0,19.6,31,22,12,12,7,18,32,56.3,14,20,0,20,13,44,4,0
Monaco,Philipp Köhn,ch SUI,GK,26.0,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,2
Monaco,Christian Mawissa,fr FRA,DF,19.0,16.7,42,29,27,13,2,26,44,59.1,18,25,6,19,26,68,48,1
Monaco,Mika Biereth,dk DEN,FW,21.0,13.8,5,5,0,3,2,3,7,42.9,4,11,0,11,4,9,7,0
Monaco,Radosław Majecki,pl POL,GK,24.0,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,8,1
Monaco,Aleksandr Golovin,ru RUS,MF,28.0,12.9,38,24,9,20,9,17,39,43.6,22,16,4,12,12,50,7,0
Monaco,Soungoutou Magassa,fr FRA,MF,20.0,11.4,47,25,14,27,6,25,46,54.3,21,16,3,13,21,68,19,1
Monaco,Mohammed Salisu,gh GHA,DF,25.0,11.4,28,18,16,11,1,13,16,81.3,3,10,8,2,16,44,54,2
Monaco,Jordan Teze,nl NED,DF,24.0,6.4,18,9,8,9,1,7,16,43.8,9,12,1,11,6,24,15,0
Monaco,Folarin Balogun,us USA,FW,23.0,6.9,1,1,0,0,1,0,4,0.0,4,0,0,0,1,2,0,0
