Team,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Paris Saint Germain,Bradley Barcola,fr FRA,FW,21.0,24.4,2,0,0,30,22,7,25,19,17,0,0,0,67,14,7,66.7
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23.2,2,0,0,0,3,0,0,0,1,0,0,0,40,4,0,100.0
Paris Saint Germain,Achraf Hakimi,ma MAR,DF,25.0,23.0,4,0,0,19,25,8,80,31,36,0,0,0,136,9,12,42.9
Paris Saint Germain,Willian Pacho,ec ECU,DF,22.0,23.7,2,0,0,20,7,0,0,40,32,0,0,0,119,29,26,52.7
Paris Saint Germain,Warren Zaïre-Emery,fr FRA,MF,18.0,22.9,3,0,0,25,19,1,9,23,26,0,0,0,136,9,14,39.1
Paris Saint Germain,Lucas Beraldo,br BRA,DF,20.0,22.4,6,0,0,22,9,1,3,21,31,0,1,0,115,45,21,68.2
Paris Saint Germain,João Neves,pt POR,MF,19.0,20.6,1,0,0,17,33,3,15,23,31,0,0,0,123,21,12,63.6
Paris Saint Germain,Fabián Ruiz Peña,es ESP,MF,28.0,21.5,1,0,0,6,10,5,27,16,24,0,0,0,135,5,8,38.5
Paris Saint Germain,Vitinha,pt POR,MF,24.0,22.7,1,0,0,9,12,0,21,14,23,0,0,0,144,1,5,16.7
Paris Saint Germain,Ousmane Dembélé,fr FRA,FW,27.0,19.4,1,0,0,8,14,9,80,9,5,1,0,0,39,4,6,40.0
Paris Saint Germain,Marquinhos,br BRA,DF,30.0,19.2,3,0,0,18,7,1,3,11,19,0,1,0,103,32,17,65.3
Paris Saint Germain,Nuno Mendes,pt POR,DF,22.0,18.7,3,0,0,13,23,1,60,18,19,1,1,0,108,15,11,57.7
Paris Saint Germain,Lee Kang-in,kr KOR,FW,23.0,18.6,1,0,0,21,28,1,94,3,17,0,0,0,73,5,10,33.3
Paris Saint Germain,Désiré Doué,fr FRA,FW,19.0,19.4,1,0,0,28,44,1,78,13,30,2,0,0,93,8,10,44.4
Paris Saint Germain,Gonçalo Ramos,pt POR,FW,23.0,11.9,1,0,0,8,11,9,1,0,6,1,0,0,18,20,15,57.1
Paris Saint Germain,Khvicha Kvaratskhelia,ge GEO,FW,23.0,10.3,0,0,0,12,18,0,33,2,13,0,0,0,27,3,5,37.5
Paris Saint Germain,Lucas Hernández,fr FRA,DF,28.0,9.8,2,0,0,9,9,0,2,7,18,0,0,1,45,13,6,68.4
Paris Saint Germain,Matvei Safonov,ru RUS,GK,25.0,9.8,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,
Paris Saint Germain,Senny Mayulu,fr FRA,MF,18.0,9.0,1,0,0,20,18,0,9,5,16,0,0,0,32,1,10,9.1
Paris Saint Germain,Marco Asensio,es ESP,FW,28.0,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3
Paris Saint Germain,Milan Škriniar,sk SVK,DF,29.0,4.2,1,0,0,4,5,1,0,3,5,0,0,0,25,7,5,58.3
Paris Saint Germain,Ibrahim Mbaye,fr FRA,FW,16.0,3.8,0,0,0,6,3,1,5,2,2,0,0,0,10,2,4,33.3
Paris Saint Germain,Randal Kolo Muani,fr FRA,FW,25.0,4.0,0,0,0,7,7,2,0,0,4,1,0,0,8,9,3,75.0
Paris Saint Germain,Yoram Zague,fr FRA,DF,18.0,2.0,0,0,0,2,0,0,4,2,6,0,0,0,5,1,1,50.0
Paris Saint Germain,Axel Tapé,fr FRA,DF,16.0,2.0,1,0,0,2,3,0,0,1,1,0,0,0,11,1,4,20.0
Paris Saint Germain,Arnau Tenas,es ESP,GK,23.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Paris Saint Germain,Noham Kamara,fr FRA,DF,17.0,0.8,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,100.0
Paris Saint Germain,Presnel Kimpembe,fr FRA,DF,28.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Marseille,Gerónimo Rulli,ar ARG,GK,32.0,34.0,1,0,0,2,11,0,0,1,3,0,2,0,37,7,1,87.5
Marseille,Mason Greenwood,eng ENG,FW,22.0,31.3,3,0,0,24,37,2,110,12,18,2,0,0,88,8,7,53.3
Marseille,Pierre Højbjerg,dk DEN,MF,28.0,29.6,5,0,0,30,39,0,19,42,45,0,0,0,171,21,18,53.8
Marseille,Luis Henrique,br BRA,DF,22.0,29.2,0,0,0,8,8,9,97,10,9,0,0,0,116,0,5,0.0
Marseille,Adrien Rabiot,fr FRA,MF,29.0,27.6,4,0,0,53,33,12,40,21,31,0,1,0,124,34,26,56.7
Marseille,Michael Amir Murillo,pa PAN,DF,28.0,27.1,3,0,0,29,26,1,37,18,31,0,1,0,138,42,17,71.2
Marseille,Leonardo Balerdi,ar ARG,DF,25.0,25.3,9,1,1,28,20,0,2,38,39,0,0,1,161,39,21,65.0
Marseille,Geoffrey Kondogbia,cf CTA,DF,31.0,22.5,1,0,0,19,17,1,4,22,38,0,0,0,108,27,15,64.3
Marseille,Quentin Merlin,fr FRA,DF,22.0,17.8,1,0,0,11,17,2,95,14,17,0,0,0,69,7,15,31.8
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,5,0,0,37,14,0,7,33,28,0,1,0,86,13,11,54.2
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,9,2,2,25,14,0,4,14,17,0,1,0,67,32,13,71.1
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,3,1,1,10,17,2,1,2,4,0,0,0,21,8,14,36.4
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,0,0,0,11,7,5,57,1,5,0,0,0,24,2,10,16.7
Marseille,Ulisses Garcia,ch SUI,DF,28.0,10.4,2,0,0,8,9,2,35,8,11,1,0,0,48,17,6,73.9
Marseille,Lilian Brassier,fr FRA,DF,24.0,8.7,3,0,0,7,3,0,5,9,6,0,0,0,38,17,7,70.8
Marseille,Ismaël Bennacer,dz ALG,MF,26.0,7.3,2,0,0,19,11,0,28,10,10,0,0,0,50,2,4,33.3
Marseille,Amine Harit,ma MAR,MF,27.0,5.8,1,1,0,6,15,0,7,3,7,1,0,0,24,1,5,16.7
Marseille,Elye Wahi,fr FRA,FW,21.0,6.4,1,0,0,17,8,10,2,1,0,0,0,0,8,4,13,23.5
Marseille,Jon Rowe,eng ENG,FW,21.0,9.0,2,0,0,14,26,6,28,2,11,0,0,0,21,7,14,33.3
