Team,Player,Age,Matches,Cmp%,Progressive Paces,Progressive Carries,Tackles+Interception,Blocks,Aerial Won,Fouls Commited,Dangerous Fouls,Errors,Rating
Tottenham Hotspur,Destiny Udogie,21.0,21.5,87.2,5.6,2.5,4.5,1.9,0.6,1.3,2,1,71
Antwerp,Ayrton Costa,25.0,13.5,80.9,5.5,1.4,5.6,1.6,2.2,2.3,10,1,69
Union SG,Anan Khalaili,19.0,16.7,69.5,4.3,3.3,5.0,1.8,1.3,1.0,4,0,69
Union Berlin,Diogo Leite,25.0,28.3,78.6,4.1,0.7,4.3,2.2,2.8,0.9,3,1,68
Brighton and Hove Albion,Mats Wieffer,24.0,11.3,85.1,5.5,1.6,6.6,1.6,2.8,2.0,9,3,68
Club Brugge,Joaquin Seys,19.0,19.4,83.9,5.1,2.8,4.5,0.9,1.0,0.5,0,0,67
Gent,Hugo Gambor,21.0,13.6,79.0,6.2,1.5,4.6,1.1,1.2,1.0,3,0,67
Lille,Thomas Meunier,32.0,21.5,80.4,6.3,3.0,4.0,1.0,1.5,1.3,8,0,67
Heidenheim,Patrick Mainka,29.0,34.0,85.4,3.0,0.6,3.7,1.8,3.2,0.5,3,0,66
Barcelona,Eric García,23.0,17.5,92.1,6.2,1.0,3.0,1.4,1.5,1.1,4,0,66
Bournemouth,Marcos Senesi,27.0,12.3,76.3,5.0,1.0,4.3,1.3,2.6,1.8,5,0,66
Dortmund,Ramy Bensebaini,29.0,22.5,86.1,5.7,1.2,3.7,1.9,1.8,1.2,6,1,66
Stuttgart,Maximilian Mittelstädt,27.0,27.5,83.4,6.6,2.3,4.6,1.7,0.9,0.9,5,2,66
Cagliari,Adam Obert,21.0,12.0,76.9,4.2,1.0,4.5,1.6,2.1,1.8,4,2,66
Lens,Ruben Aguilar,31.0,12.6,80.3,5.9,2.5,3.7,2.0,0.8,1.1,4,0,66
Lyon,Nicolás Tagliafico,31.0,21.2,86.6,4.6,1.5,4.4,1.2,1.2,1.9,7,0,66
Beerschot Wilrijk,Tolis Konstantopoulos,21.0,24.0,82.1,4.0,0.8,4.2,1.8,1.4,1.1,10,0,65
Monaco,Christian Mawissa,19.0,16.7,87.5,2.6,0.8,4.1,1.5,1.9,1.1,6,1,65
Manchester United,Noussair Mazraoui,26.0,31.7,85.7,3.6,1.3,4.7,1.1,1.6,1.2,6,1,65
Arsenal,Riccardo Calafiori,22.0,11.0,85.6,4.9,2.0,3.3,1.1,2.0,1.5,4,0,65
Bayern Munich,Dayot Upamecano,25.0,19.6,93.9,7.0,0.9,3.6,0.9,3.0,1.0,6,1,65
Bayern Munich,Konrad Laimer,27.0,18.9,87.8,7.5,4.6,3.0,1.3,0.8,1.9,8,1,65
Sint Truiden,Louis Patris,23.0,18.7,64.4,3.9,1.8,5.5,1.7,1.9,1.3,10,1,64
Westerlo,Jordan Bos,21.0,11.5,73.5,2.9,3.9,3.1,1.9,1.7,0.6,2,0,64
Dortmund,Waldemar Anton,28.0,21.7,90.4,5.4,1.5,2.9,1.5,2.1,0.9,4,1,64
Atalanta,Matteo Ruggeri,22.0,19.5,84.2,5.8,3.1,3.1,1.5,1.2,0.6,2,1,64
Antwerp,Jelle Bataille,25.0,16.6,79.4,5.0,2.5,4.5,1.5,0.9,0.7,2,2,64
Cagliari,José Luis Palomino,34.0,12.0,86.7,2.9,0.3,4.1,1.8,1.3,0.9,6,0,64
Paris Saint Germain,Willian Pacho,22.0,23.7,94.8,2.2,0.1,4.1,1.5,1.2,0.8,2,1,64
Paris Saint Germain,Marquinhos,30.0,19.2,94.9,7.9,1.5,2.1,1.4,1.7,0.9,6,0,64
Fulham,Kenny Tete,28.0,19.8,80.8,3.2,1.7,4.4,1.6,1.2,1.8,5,0,64
Napoli,Alessandro Buongiorno,25.0,21.4,90.8,3.8,1.3,3.5,1.4,2.0,0.8,2,2,64
Westerlo,Tuur Rommens,21.0,26.6,72.6,7.2,3.0,3.8,1.6,2.7,0.8,8,2,64
Lens,Kevin Danso,25.0,12.0,85.6,4.3,0.8,3.2,2.1,3.4,2.2,6,1,63
Fulham,Antonee Robinson,26.0,35.2,76.8,3.7,3.4,4.5,1.2,1.4,0.9,8,2,63
Nice,Ali Abdi,30.0,15.6,74.0,2.7,2.2,4.0,1.3,1.4,1.7,2,0,63
