Team,Player,Age,Matches,Goals,Goal realization,Sh/90,xAG/90,Cmp/90,Progressive Paces,Progressive Carries,Key passes,Dribbling,Shot-Creating Actions,Goal-Creating Actions,Rating
Bayern Munich,Michael Olise,22.0,26.1,12,2.3,3.29,0.46,49.4,7.0,4.6,3.4,2.8,6.51,0.96,93.0
Paris Saint Germain,Ousmane Dembélé,27.0,19.4,21,4.4,4.95,0.42,43.5,7.1,6.5,3.2,2.2,5.72,0.78,90.0
Lyon,Rayan Cherki,20.0,22.8,8,3.0,1.97,0.49,47.3,9.0,4.6,3.3,2.1,6.44,0.88,87.0
Paris Saint Germain,Désiré Doué,19.0,19.4,6,0.9,2.84,0.4,48.1,7.2,5.0,2.8,2.9,5.66,1.25,87.0
Barcelona,Lamine Yamal,17.0,31.9,9,-0.8,4.52,0.44,36.4,5.0,5.7,2.0,5.0,5.92,0.91,86.0
Eintracht Frankfurt,Omar Marmoush,25.0,16.2,15,6.2,4.64,0.38,18.5,3.1,4.5,2.1,2.8,5.66,1.31,86.0
Arsenal,Bukayo Saka,22.0,19.3,6,-0.8,3.41,0.39,28.6,3.6,5.0,3.0,2.1,6.09,1.2,81.0
Liverpool,Mohamed Salah,32.0,37.6,29,3.8,3.22,0.38,23.7,3.8,4.1,2.3,1.5,4.51,0.72,78.0
Real Madrid,Vinicius Júnior,24.0,25.2,11,0.6,3.1,0.32,26.7,3.4,6.7,2.3,3.3,5.39,0.72,74.0
Barcelona,Raphinha,27.0,31.6,18,-1.2,3.54,0.4,33.7,4.3,3.0,2.9,1.6,5.17,0.7,73.0
Paris Saint Germain,Bradley Barcola,21.0,24.4,14,0.6,3.03,0.41,30.7,3.9,5.6,2.0,1.4,4.17,0.83,72.0
Manchester City,Jeremy Doku,22.0,17.0,3,1.7,1.71,0.28,35.5,4.1,12.5,1.9,6.3,4.69,0.83,71.0
Manchester City,Sávio,20.0,19.8,1,-4.0,2.78,0.35,34.9,3.4,6.9,2.3,2.6,5.66,0.76,71.0
Genk,Jarne Steuckers,22.0,28.4,8,-0.3,1.37,0.4,46.5,8.7,2.9,3.2,1.1,5.89,0.5,70.0
