Team,Player,Age,Matches,GA90,Save%,CS%,PSXG+/-,Launched CMP% (40+ yards),CMP% (15-30 yards),CMP% (30+ yards),Launch% goal kicks,Defensive actions,Errors,Errors under pressure,Miscontrol,Rating
Lens,Brice Samba,30.0,15.0,0.93,81.5,46.7,3.5,50.3,98.4,60.3,44.7,1.47,2,0,0,67
Monchengladbach,Moritz Nicolas,26.0,18.2,1.39,78.3,22.2,6.9,47.7,98.4,58.9,46.7,0.77,1,0,0,64
Anderlecht,Colin Coosemans,31.0,28.0,0.89,80.5,50.0,14.0,40.7,97.1,52.7,37.6,1.25,3,1,1,64
Osasuna,Sergio Herrera,31.0,37.0,1.41,75.3,21.6,5.2,45.1,98.0,51.5,71.4,2.3,1,0,2,63
Antwerp,Senne Lammens,22.0,30.0,1.07,81.4,23.3,14.5,37.1,98.4,52.4,38.0,0.72,3,0,0,63
Augsburg,Finn Dahmen,26.0,19.0,1.0,79.3,47.4,7.2,37.8,99.1,47.2,71.7,1.37,0,0,0,60
Genk,Mike Penders,19.0,11.0,0.73,78.1,36.4,2.2,46.5,98.9,54.4,40.8,0.27,0,1,0,59
Strasbourg,Đorđe Petrović,24.0,31.0,1.23,78.9,32.3,9.9,32.4,98.3,43.4,56.1,1.52,1,0,0,59
Roma,Mile Svilar,24.0,38.0,0.92,79.5,42.1,8.5,30.0,99.7,50.2,56.5,0.87,2,1,0,58
OH Leuven,Tobe Leysen,22.0,29.0,1.1,77.8,31.0,10.9,33.5,98.9,45.9,63.3,0.97,1,1,0,58
Gent,Davy Roef,30.0,26.0,1.15,79.7,42.3,16.7,39.2,98.3,53.4,37.7,0.54,4,0,1,57
Union SG,Anthony Moris,34.0,30.0,0.83,75.8,43.3,8.7,43.7,98.3,56.4,56.0,0.83,2,0,2,57
Como,Jean Butez,29.0,18.5,1.08,73.5,27.8,0.1,38.3,99.0,51.7,48.8,2.76,1,0,1,56
